id_municipio,nome_municipio,ano,apgar1
3304201,Resende,2015,8.2
3304201,Resende,2016,8.43
3304201,Resende,2017,8.47
3304201,Resende,2018,8.47
3304201,Resende,2019,8.43
3304201,Resende,2020,8.52
3304300,Rio Bonito,2010,8.45
3304300,Rio Bonito,2011,8.5
3304300,Rio Bonito,2012,8.52
3304300,Rio Bonito,2013,8.44
3304300,Rio Bonito,2014,8.36
3304300,Rio Bonito,2015,8.32
3304300,Rio Bonito,2016,8.23
3304300,Rio Bonito,2017,8.13
3304300,Rio Bonito,2018,7.99
3304300,Rio Bonito,2019,8.23
3304300,Rio Bonito,2020,8.09
3304409,Rio Claro,2010,8.32
3304409,Rio Claro,2011,8.1
3304409,Rio Claro,2012,8.05
3304409,Rio Claro,2013,8.53
3304409,Rio Claro,2014,8.35
3304409,Rio Claro,2015,8.41
3304409,Rio Claro,2016,8.52
3304409,Rio Claro,2017,8.67
3304409,Rio Claro,2018,8.89
3304409,Rio Claro,2019,8.58
3304409,Rio Claro,2020,8.59
3304508,Rio Das Flores,2010,8.02
3304508,Rio Das Flores,2011,8.05
3304508,Rio Das Flores,2012,7.5
3304508,Rio Das Flores,2013,7.76
3304524,Rio Das Ostras,2010,8.11
3304524,Rio Das Ostras,2011,8.08
3304524,Rio Das Ostras,2012,7.92
3304524,Rio Das Ostras,2013,8.19
3304524,Rio Das Ostras,2014,8.19
3304524,Rio Das Ostras,2015,8.29
3304524,Rio Das Ostras,2016,8.3
3304524,Rio Das Ostras,2017,8.23
3304524,Rio Das Ostras,2018,8.35
3304524,Rio Das Ostras,2019,8.43
3304524,Rio Das Ostras,2020,8.42
3304557,Rio De Janeiro,2010,8.21
3304557,Rio De Janeiro,2011,8.27
3304557,Rio De Janeiro,2012,8.27
3304557,Rio De Janeiro,2013,8.31
3304557,Rio De Janeiro,2014,8.34
3304557,Rio De Janeiro,2015,8.33
3304557,Rio De Janeiro,2016,8.35
3304557,Rio De Janeiro,2017,8.35
3304557,Rio De Janeiro,2018,8.36
3304557,Rio De Janeiro,2019,8.38
3304557,Rio De Janeiro,2020,8.36
3304607,Santa Maria Madalena,2010,7.5
3304607,Santa Maria Madalena,2011,7.23
3304607,Santa Maria Madalena,2012,7.73
3304607,Santa Maria Madalena,2013,7.74
3304607,Santa Maria Madalena,2014,7.57
3304607,Santa Maria Madalena,2015,7.93
3304607,Santa Maria Madalena,2016,7.17
3304607,Santa Maria Madalena,2017,7.84
3304607,Santa Maria Madalena,2018,8.07
3304607,Santa Maria Madalena,2019,7.85
3304607,Santa Maria Madalena,2020,7.81
3304706,Santo Antônio De Pádua,2010,9.06
3304706,Santo Antônio De Pádua,2011,9.08
3304706,Santo Antônio De Pádua,2012,9.02
3304706,Santo Antônio De Pádua,2013,9.18
3304706,Santo Antônio De Pádua,2014,9.23
3304706,Santo Antônio De Pádua,2015,9.12
3304706,Santo Antônio De Pádua,2016,8.54
3304706,Santo Antônio De Pádua,2017,8.43
3304706,Santo Antônio De Pádua,2018,8.62
3304706,Santo Antônio De Pádua,2019,8.69
3304706,Santo Antônio De Pádua,2020,8.64
3304755,São Francisco De Itabapoana,2010,8.15
3304755,São Francisco De Itabapoana,2011,8.07
3304755,São Francisco De Itabapoana,2012,7.6
3304755,São Francisco De Itabapoana,2013,7.57
3304755,São Francisco De Itabapoana,2014,8.4
3304755,São Francisco De Itabapoana,2015,7.41
3304755,São Francisco De Itabapoana,2016,7.65
3304755,São Francisco De Itabapoana,2017,8.18
3304755,São Francisco De Itabapoana,2018,8.07
3304755,São Francisco De Itabapoana,2019,7.54
3304755,São Francisco De Itabapoana,2020,8.33
3304805,São Fidélis,2010,7.87
3304805,São Fidélis,2011,7.99
3304805,São Fidélis,2012,8.07
3304805,São Fidélis,2013,8.15
3304805,São Fidélis,2014,8.01
3304805,São Fidélis,2015,8.02
3304805,São Fidélis,2016,8.2
3304805,São Fidélis,2017,8.08
3304805,São Fidélis,2018,8.13
3304805,São Fidélis,2019,8.58
3304805,São Fidélis,2020,8.64
3304904,São Gonçalo,2010,8.18
3304904,São Gonçalo,2011,8.26
3304904,São Gonçalo,2012,8.34
3304904,São Gonçalo,2013,8.31
3304904,São Gonçalo,2014,8.42
3304904,São Gonçalo,2015,8.44
3304904,São Gonçalo,2016,8.42
3304904,São Gonçalo,2017,8.37
3304904,São Gonçalo,2018,8.44
3304904,São Gonçalo,2019,8.46
3304904,São Gonçalo,2020,8.46
3305000,São João Da Barra,2012,8.37
3305000,São João Da Barra,2013,8.23
3305000,São João Da Barra,2014,8.43
3305000,São João Da Barra,2015,8.29
3305000,São João Da Barra,2016,8.23
3305000,São João Da Barra,2017,8.36
3305000,São João Da Barra,2018,8.41
